network,sales_2024,sales_2025,qty_2024,qty_2025,price_2024,price_2025,sort_2024,sort_2025,registered_stores,active_stores_2024,active_stores_2025,ticket_registered_2025,ticket_active_2025,growth_abs,growth_pct,ticket_gap_pct
GPA,6527506.809997023,6891306.199999482,1627337.0,1668495.0,4.011158604515858,4.130252832642281,18,17,509,116,118,13538.91198428189,58400.899999995614,363799.3900024593,0.05573328386962273,3.313559322033898
OBA,2225179.7900000974,2827616.159999849,756024.0,914749.5,2.943266073563931,3.0911371473828066,26,26,69,27,31,40979.9443478239,91213.42451612416,602436.3699997514,0.270736042411982,1.225806451612903
COVABRA,2503493.74000024,2764298.439999908,839872.8999999999,963899.0,2.980800714013085,2.867829969737398,28,28,27,15,16,102381.4237037003,172768.65249999426,260804.69999966817,0.10417629404563367,0.6875
SAVEGNAGO,1262776.0399997956,1599039.1899998838,420140.0,523294.0,3.0056077497972,3.055718563560606,29,29,44,19,19,36341.79977272463,84159.95736841494,336263.15000008815,0.266288826639554,1.3157894736842106
ST MARCHE,163292.8499999977,1485000.7200001061,39458.0,366042.0,4.138396522885035,4.056913468946476,27,28,37,20,21,40135.154594597465,70714.32000000506,1321707.8700001084,8.094095179305935,0.7619047619047619
CARREFOUR,1144298.089999999,1322112.0699999507,288663.0,303569.6,3.9641314958965954,4.355218934965658,28,28,93,10,10,14216.25881720377,132211.20699999508,177813.97999995179,0.15539131066796763,8.3
MAMBO,1012903.5799999854,1283428.319999986,343942.0,406480.0,2.9449836891103307,3.1574205864986866,19,23,28,12,14,45836.72571428522,91673.45142857044,270524.7400000007,0.26707847157574927,1.0
ENXUTO,990105.2400000183,1034334.9899999935,343662.0,363708.0,2.881043699914504,2.8438609818865506,28,26,10,6,6,103433.49899999934,172389.1649999989,44229.7499999752,0.044671766407351265,0.6666666666666667
DALBEN,34785.68000000003,551622.4000000083,11135.0,175562.0,3.1239946115850947,3.1420375707727657,28,28,4,3,3,137905.60000000207,183874.1333333361,516836.72000000824,14.857743761226109,0.33333333333333326
BOA,416363.7500000041,542556.0999999985,136257.0,179737.0,3.055723742633436,3.018611081747211,18,28,26,8,9,20867.54230769225,60284.01111111094,126192.34999999439,0.3030819805998797,1.8888888888888888
HIROTA,118482.51000000114,400419.30000000325,34708.0,126626.0,3.413694537282504,3.1622202391294305,24,25,21,8,15,19067.58571428587,26694.620000000217,281936.79000000213,2.3795646294123864,0.3999999999999999
SAN MICHEL,216172.28000000038,398579.3999999806,93494.0,169083.0,2.3121513680022288,2.3573002608185365,26,28,16,8,9,24911.212499998786,44286.599999997845,182407.1199999802,0.8438043952720482,0.7777777777777779
H.FARTURA,436378.04999998404,396287.7800000026,122468.0,118261.0,3.563200591174707,3.3509591496774305,28,26,8,6,6,49535.97250000032,66047.96333333377,-40090.26999998145,-0.09187050081914738,0.3333333333333335
BIG BOM,207370.52999999956,312358.98000000406,55547.0,110155.0,3.7332444596467775,2.835631428441778,22,22,3,3,3,104119.66000000136,104119.66000000136,104988.4500000045,0.5062843307581106,0.0
CAETANO,296270.50999999663,303169.2999999966,111702.0,109975.0,2.6523295017098767,2.7567110706978553,26,27,5,2,3,60633.859999999324,101056.4333333322,6898.789999999979,0.023285442752976282,0.6666666666666665
NATURAL DA TERRA,84936.85999999949,295421.9500000041,24883.0,85867.0,3.413449342924868,3.4404596643647047,26,28,40,4,9,7385.548750000102,32824.66111111156,210485.0900000046,2.4781359941962284,3.4444444444444446
BIG,100424.91999999949,199232.68000000372,24987.0,46569.0,4.01908672509703,4.2782254289334904,27,27,25,5,5,7969.307200000148,39846.53600000074,98807.76000000423,0.9838968256086709,4.0
DAOLIO,193741.5499999985,178775.93999999962,59264.0,56473.0,3.2691271260798884,3.1656887362102175,28,29,3,2,2,59591.97999999987,89387.96999999981,-14965.60999999888,-0.07724522695311875,0.5
FRUTTIMIX,139588.65000000017,150304.4199999985,43233.0,49809.0,3.228752341961006,3.017615691943193,28,28,19,2,2,7910.758947368342,75152.20999999925,10715.76999999833,0.07676677151042233,8.5
KALIMERA,76209.24000000009,140475.32999999978,33365.0,54957.0,2.2841072980668393,2.5560953108794107,28,23,4,1,1,35118.832499999946,140475.32999999978,64266.08999999969,0.843284751297869,3.0
CENOURAO,74986.38000000016,109674.33000000023,19407.0,28160.0,3.8638831349513145,3.894685014204554,14,21,8,2,5,13709.29125000003,21934.866000000045,34687.95000000007,0.46259000634515224,0.5999999999999999
PONTO NOVO,91740.63000000018,109491.82999999965,27894.0,33752.0,3.288901914390198,3.244010132732865,28,29,7,2,1,15641.68999999995,109491.82999999965,17751.199999999473,0.1934933300545183,6.0
BOMMIX,95295.5699999999,103946.1799999994,29291.0,32558.0,3.253407872725407,3.1926463541986423,24,25,2,1,1,51973.0899999997,103946.1799999994,8650.609999999491,0.09077662266986275,1.0
CUBATAO,105917.02999999831,102126.15999999947,31792.0,36431.0,3.3315623427276773,2.803276330597553,28,29,28,5,6,3647.362857142838,17021.026666666578,-3790.8699999988457,-0.035790939379615416,3.666666666666667
EMP. ST VERENA,95645.47999999962,98707.19000000006,29199.0,30535.0,3.275642316517676,3.2325917799246784,25,28,1,1,1,98707.19000000006,98707.19000000006,3061.710000000443,0.0320110265534812,0.0
PORTUGA,116677.27000000015,96898.8900000002,35407.0,30698.0,3.295316462846334,3.156521271744094,23,21,1,1,1,96898.8900000002,96898.8900000002,-19778.379999999946,-0.16951356506712856,0.0
BIGLAR,100702.81000000008,89570.55000000008,34609.0,28931.0,2.9097289722326587,3.0960060143099124,16,16,2,1,2,44785.27500000004,44785.27500000004,-11132.26000000001,-0.11054567394891956,0.0
VAREJAO PASSARINHO,59044.58000000011,89283.70999999972,15382.0,22917.0,3.8385502535431097,3.8959597678579097,13,14,6,4,4,14880.618333333287,22320.92749999993,30239.129999999604,0.512140657110264,0.5
VITORIA MAX,25597.900000000027,83082.0999999999,8323.0,32300.0,3.0755616965036676,2.57220123839009,25,24,2,1,1,41541.04999999995,83082.0999999999,57484.19999999988,2.2456607768605945,1.0
PAGUE MENOS,398080.4000000134,77618.91999999981,113643.0,22726.0,3.502902950467811,3.4154237437296406,21,18,23,8,7,3374.735652173905,11088.417142857115,-320461.4800000136,-0.805016976470087,2.2857142857142856
UNIAO,69672.52000000005,70715.42000000013,20410.0,21252.0,3.413646251837337,3.327471296819129,28,28,7,2,2,10102.202857142876,35357.710000000065,1042.9000000000815,0.014968598810550793,2.4999999999999996
SEMPRE VALE,53387.97999999955,67118.34000000033,18431.0,20974.0,2.8966404427323287,3.2000734242395503,23,24,16,2,2,4194.896250000021,33559.170000000166,13730.36000000078,0.2571807361881999,7.0
CASA DELIZA,71065.7500000002,65020.77999999953,21498.0,19147.0,3.3056912270909016,3.395872982712672,28,29,2,1,1,32510.389999999767,65020.77999999953,-6044.970000000671,-0.08506165065450877,1.0
VILLA REAL,28169.389999999985,62777.399999999965,7636.0,18691.0,3.6890243583027744,3.358696698946015,27,28,13,1,1,4829.030769230767,62777.399999999965,34608.00999999998,1.2285679597605768,11.999999999999998
HAGAPE,41639.50000000006,62295.32000000015,11487.0,16617.0,3.624923826934801,3.748890894866712,22,22,1,1,1,62295.32000000015,62295.32000000015,20655.820000000094,0.49606311314977525,0.0
PALATO,0.0,56229.54,0.0,16465.0,,3.4150950501062862,0,26,4,0,3,14057.385,18743.18,56229.54,,0.33333333333333326
M.QUALIDADE,3170.27,51520.590000000295,989.0,14107.0,3.205530839231547,3.652129439285482,27,28,1,1,1,51520.590000000295,51520.590000000295,48350.3200000003,15.251167881600082,0.0
DB,116569.69000000047,47392.78000000002,27703.0,10749.0,4.207836335414954,4.409040841008468,25,15,9,4,3,5265.864444444447,15797.59333333334,-69176.91000000044,-0.5934382256656956,1.9999999999999996
EMPORIO NOVA ERA,48036.64000000002,46915.75000000004,11237.0,10683.0,4.274863397704015,4.391626883834133,25,14,4,1,1,11728.93750000001,46915.75000000004,-1120.8899999999849,-0.02333406333165655,3.0
SUP. TAQUARAL,37633.74000000004,38840.8500000001,12407.0,11811.0,3.0332667042798453,3.288531877063763,28,25,1,1,1,38840.8500000001,38840.8500000001,1207.1100000000588,0.032075206981821536,0.0
VAREJO,109349.00000000001,38324.64999999997,29497.0,9766.0,3.707122758246602,3.9242934671308594,28,29,28,13,10,1368.737499999999,3832.4649999999974,-71024.35000000003,-0.6495198858700129,1.8000000000000003
EMP. VOVO,40870.52999999983,35937.18000000012,11286.0,9898.0,3.621347687400304,3.6307516670034468,28,23,1,1,1,35937.18000000012,35937.18000000012,-4933.349999999715,-0.12070677820913345,0.0
NOVA MAKIM,7946.220000000003,34352.300000000025,2254.0,9503.0,3.5253859804791494,3.6148900347258786,21,21,1,1,1,34352.300000000025,34352.300000000025,26406.080000000024,3.3230995366350307,0.0
BUONA GENTE,35027.38999999995,33780.46000000003,9686.0,9388.0,3.616290522403464,3.5982594801874765,22,22,3,1,1,11260.153333333343,33780.46000000003,-1246.9299999999203,-0.035598712892965234,2.0
SANI,24396.739999999976,30804.650000000074,6275.0,8016.0,3.887926693227088,3.8428954590818454,20,26,1,1,1,30804.650000000074,30804.650000000074,6407.910000000098,0.26265435463918974,0.0
PASTORINHO,0.0,28207.939999999984,0.0,8263.0,,3.413764976400821,0,28,3,0,1,9402.646666666662,28207.939999999984,28207.939999999984,,2.0
SABOR DA ROCA,0.0,22735.83999999995,0.0,6261.0,,3.6313432359047995,0,26,1,0,1,22735.83999999995,22735.83999999995,22735.83999999995,,0.0
TUDO DE BOM,29619.4699999999,21059.339999999982,8572.0,6291.0,3.455374475034986,3.3475345731998063,25,27,1,1,1,21059.339999999982,21059.339999999982,-8560.129999999917,-0.28900348318183766,0.0
EMP. TARTUFO,14268.090000000044,15629.769999999966,3692.0,3635.0,3.8645964247020705,4.2997991746904995,12,10,3,2,2,5209.923333333322,7814.884999999983,1361.679999999922,0.09543533857719688,0.5
SUP. JAGUARE,0.0,14751.440000000002,0.0,3969.0,,3.7166641471403383,0,19,1,0,1,14751.440000000002,14751.440000000002,14751.440000000002,,0.0
VARANDA,0.0,14277.169999999916,0.0,3724.0,,3.8338265306122223,0,15,6,0,2,2379.5283333333196,7138.584999999958,14277.169999999916,,2.0
ABELHA GULOSA,8951.729999999992,14097.539999999983,2425.0,3765.0,3.6914350515463887,3.7443665338645373,25,12,2,1,1,7048.769999999991,14097.539999999983,5145.80999999999,0.5748397237182081,1.0
H.PIRASSUNUNGA,0.0,12824.429999999997,0.0,3548.0,,3.6145518602029303,0,14,1,0,1,12824.429999999997,12824.429999999997,12824.429999999997,,0.0
PADARIA PIRACAM,15511.39999999999,12741.049999999983,4018.0,3188.0,3.8604778496764536,3.9965652446674977,23,17,1,1,1,12741.049999999983,12741.049999999983,-2770.3500000000076,-0.1786008999832387,0.0
C.C ST MARIA,10584.450000000017,12538.750000000007,2813.0,3282.0,3.7626910771418474,3.8204600853138353,22,14,1,1,1,12538.750000000007,12538.750000000007,1954.2999999999902,0.184638786143823,0.0
REMAFRA,0.0,10690.789999999985,0.0,2669.0,,4.00554140127388,0,21,1,0,1,10690.789999999985,10690.789999999985,10690.789999999985,,0.0
MUSEU DA GULA,9344.57,9663.979999999996,2269.0,2311.0,4.118364918466285,4.181730852444828,10,5,4,1,1,2415.994999999999,9663.979999999996,319.4099999999962,0.03418134809841389,3.0
STEAK PARK,2116.189999999999,8748.300000000005,549.0,2017.0,3.85462659380692,4.3372830937035225,23,15,1,1,1,8748.300000000005,8748.300000000005,6632.110000000006,3.133986078754747,0.0
EMP. HIGIENOPOLIS,0.0,7441.710000000002,0.0,2094.0,,3.5538252148997143,0,18,2,0,1,3720.855000000001,7441.710000000002,7441.710000000002,,1.0
